,Data,Dias a partir do 1o caso,Município,Confirmados acum.,Confirmados acum./100k hab.,Óbitos acum.,obitos/100k
0,2020-04-05,21,Fortaleza,869,32.554840000000006,26,0.974022811614248
1,2020-04-06,22,Fortaleza,929,34.80258,27,1.0114852274455652
2,2020-04-07,23,Fortaleza,1053,39.44792,30,1.123872474939517
3,2020-04-08,24,Fortaleza,1238,46.37847,45,1.6858087124092753
4,2020-04-09,25,Fortaleza,1283,48.06428,45,1.6858087124092753
5,2020-04-10,26,Fortaleza,1366,51.17366,53,1.9855080390598132
6,2020-04-11,27,Fortaleza,1457,54.58274,58,2.172820118216399
7,2020-04-12,28,Fortaleza,1529,57.280030000000004,59,2.2102825340477166
8,2020-04-13,29,Fortaleza,1686,63.16163,78,2.922068434842744
9,2020-04-14,30,Fortaleza,1794,67.20756999999999,86,3.221767761493282
10,2020-04-15,31,Fortaleza,1946,72.90186,93,3.484004672312502
11,2020-04-16,32,Fortaleza,2041,76.46079,95,3.558929503975137
12,2020-04-17,33,Fortaleza,2300,86.16356,119,4.458027483926751
13,2020-04-18,34,Fortaleza,2562,95.97870999999999,141,5.28220063221573
14,2020-04-19,35,Fortaleza,2688,100.69896999999999,148,5.54443754303495
15,2020-04-20,36,Fortaleza,2840,106.39326000000001,164,6.143836196336026
16,2020-04-21,37,Fortaleza,3018,113.06156999999999,176,6.593385186311833
17,2020-04-22,38,Fortaleza,3303,123.73836000000001,189,7.080396592118957
18,2020-04-23,39,Fortaleza,3791,142.02002,212,7.942032156239253
19,2020-04-24,40,Fortaleza,4063,152.2098,228,8.541430809540328
20,2020-04-25,41,Fortaleza,4541,170.11683,259,9.702765700311163
21,2020-04-26,42,Fortaleza,4991,186.97492,295,11.051412670238582
22,2020-04-27,43,Fortaleza,5326,199.52483,316,11.838123402696244
23,2020-04-28,44,Fortaleza,5481,205.3315,329,12.32513480850337
24,2020-04-29,45,Fortaleza,5712,213.98532000000003,349,13.074383125129714
25,2020-04-30,46,Fortaleza,5970,223.65062000000003,381,14.273180431731864
26,2020-05-01,47,Fortaleza,6082,227.84641000000002,413,15.471977738334017
27,2020-05-02,48,Fortaleza,6353,237.99873,498,18.65628308399598
28,2020-05-03,49,Fortaleza,6417,240.39632000000003,528,19.780155558935498
29,2020-05-04,50,Fortaleza,8198,307.11688,553,20.716715954718428
30,2020-05-05,51,Fortaleza,8509,318.7677,608,22.777148825440875
31,2020-05-06,52,Fortaleza,9061,339.44695,651,24.388032706187516
32,2020-05-07,53,Fortaleza,9669,362.2241,694,25.998916586934154
33,2020-05-08,54,Fortaleza,10476,392.45627,761,28.50889844763241
34,2020-05-09,55,Fortaleza,10995,411.89926,809,30.307094407535644
35,2020-05-10,56,Fortaleza,11556,432.91568,840,31.468429298306475
36,2020-05-11,57,Fortaleza,11935,447.11393,893,33.45393733736629
37,2020-05-12,58,Fortaleza,12484,467.6808,950,35.58929503975137
38,2020-05-13,59,Fortaleza,13037,488.39752000000004,1022,38.28658897960621
39,2020-05-14,60,Fortaleza,13777,516.1197,1039,38.9234500487386
40,2020-05-15,61,Fortaleza,14690,550.32289,1137,42.594766800207694
41,2020-05-16,62,Fortaleza,15162,568.00515,1163,43.568789611821934
42,2020-05-17,63,Fortaleza,15371,575.83479,1174,43.98087618596643
43,2020-05-18,64,Fortaleza,16169,605.7298,1253,46.940407036640494
44,2020-05-19,65,Fortaleza,16784,628.76919,1307,48.963377491531624
45,2020-05-20,66,Fortaleza,18010,674.6981099999999,1333,49.937400303145864
46,2020-05-21,67,Fortaleza,18644,698.4492799999999,1503,56.3060109944698
47,2020-05-22,68,Fortaleza,19270,721.90075,1548,57.99181970687908
48,2020-05-23,69,Fortaleza,19552,732.46515,1574,58.965842518493325
49,2020-05-24,70,Fortaleza,19795,741.56852,1579,59.15315459764991
50,2020-05-25,71,Fortaleza,20146,754.7178299999999,1687,63.199095507432176
51,2020-05-26,72,Fortaleza,20789,778.80616,1769,66.27101360560017
52,2020-05-27,73,Fortaleza,20939,784.42553,1783,66.79548742723863
53,2020-05-28,74,Fortaleza,21328,798.9984,1804,67.58219815969629
54,2020-05-29,75,Fortaleza,21705,813.12174,1877,70.31695451538245
55,2020-05-30,76,Fortaleza,23378,875.7963599999999,1939,72.63962429692411
56,2020-05-31,77,Fortaleza,23613,884.6000300000001,1967,73.68857194020099
57,2020-06-01,78,Fortaleza,24104,902.99407,2084,78.07167459246511
58,2020-06-02,79,Fortaleza,25344,949.44747,2277,85.30192084790933
59,2020-06-03,80,Fortaleza,25726,963.75811,2334,87.43727855029441
60,2020-06-04,81,Fortaleza,26514,993.27849,2424,90.80889597511296
61,2020-06-05,82,Fortaleza,27074,1014.25745,2453,91.89530603422118
62,2020-06-06,83,Fortaleza,27320,1023.4732,2459,92.12008052920906
63,2020-06-07,84,Fortaleza,27411,1026.88228,2458,92.08261811337775
64,2020-06-08,85,Fortaleza,27889,1044.7893199999999,2569,96.24094627065396
65,2020-06-09,86,Fortaleza,28550,1069.55197,2637,98.78839054718355
66,2020-06-10,87,Fortaleza,29322,1098.47296,2714,101.67299656619495
67,2020-06-11,88,Fortaleza,29951,1122.03682,2810,105.26938848600142
68,2020-06-12,89,Fortaleza,30210,1131.7395800000002,2848,106.69296028759146
69,2020-06-13,90,Fortaleza,30210,1131.7395800000002,2848,106.69296028759146
70,2020-06-14,91,Fortaleza,30426,1139.8314599999999,2854,106.91773478257937
71,2020-06-15,92,Fortaleza,30863,1156.20254,2915,109.20294214828972
72,2020-06-16,93,Fortaleza,30986,1160.81042,3006,112.6120219889396
73,2020-06-17,94,Fortaleza,31841,1192.84078,3059,114.5975300279994
74,2020-06-18,95,Fortaleza,32226,1207.26381,3087,115.6464776712763
75,2020-06-19,96,Fortaleza,32531,1218.68985,3113,116.62050048289053
76,2020-06-20,97,Fortaleza,32794,1228.54246,3109,116.47065081956526
77,2020-06-21,98,Fortaleza,32854,1230.79021,3110,116.50811323539658
78,2020-06-22,99,Fortaleza,33198,1243.67728,3136,117.48213604701084
79,2020-06-23,100,Fortaleza,33755,1264.54385,3174,118.9057078486009
80,2020-06-24,101,Fortaleza,34027,1274.73362,3212,120.32927965019094
81,2020-06-25,102,Fortaleza,34448,1290.5053,3235,121.19091521431125
82,2020-06-26,103,Fortaleza,34719,1300.65762,3244,121.52807695679309
83,2020-06-27,104,Fortaleza,34992,1310.88485,3244,121.52807695679309
84,2020-06-28,105,Fortaleza,35012,1311.6341,3245,121.5655393726244
85,2020-06-29,106,Fortaleza,35081,1314.21901,3276,122.72687426339525
86,2020-06-30,107,Fortaleza,35313,1322.91029,3288,123.17642325337106
87,2020-07-01,108,Fortaleza,35615,1334.22394,3296,123.4761225800216
88,2020-07-02,109,Fortaleza,35899,1344.8632699999998,3334,124.89969438161164
89,2020-07-03,110,Fortaleza,36272,1358.83675,3356,125.72386752990063
90,2020-07-04,111,Fortaleza,36875,1381.42658,3377,126.51057826235828
