Dias apos 20o caso,obitos,obitos/100k
0,26,0.974022811614248
1,27,1.0114852274455652
2,30,1.123872474939517
3,45,1.6858087124092753
4,45,1.6858087124092753
5,53,1.9855080390598132
6,58,2.172820118216399
7,59,2.2102825340477166
8,78,2.922068434842744
9,86,3.221767761493282
10,93,3.484004672312502
11,95,3.558929503975137
12,119,4.458027483926751
13,141,5.28220063221573
14,148,5.54443754303495
15,164,6.143836196336026
16,176,6.593385186311833
17,189,7.080396592118957
18,212,7.942032156239253
19,228,8.541430809540328
20,259,9.702765700311163
21,295,11.051412670238582
22,316,11.838123402696244
23,329,12.32513480850337
24,349,13.074383125129714
25,381,14.273180431731864
26,413,15.471977738334017
27,498,18.65628308399598
28,528,19.780155558935498
29,553,20.716715954718428
30,608,22.777148825440875
31,651,24.388032706187516
32,694,25.998916586934154
33,761,28.50889844763241
34,809,30.307094407535644
35,840,31.468429298306475
36,893,33.45393733736629
37,950,35.58929503975137
38,1022,38.28658897960621
39,1039,38.9234500487386
40,1137,42.594766800207694
41,1163,43.568789611821934
42,1174,43.98087618596643
43,1253,46.940407036640494
44,1307,48.963377491531624
45,1333,49.937400303145864
46,1503,56.3060109944698
47,1548,57.99181970687908
48,1574,58.965842518493325
49,1579,59.15315459764991
50,1687,63.199095507432176
51,1769,66.27101360560017
52,1783,66.79548742723863
53,1804,67.58219815969629
54,1877,70.31695451538245
55,1939,72.63962429692411
56,1967,73.68857194020099
57,2084,78.07167459246511
58,2277,85.30192084790933
59,2334,87.43727855029441
60,2424,90.80889597511296
61,2453,91.89530603422118
62,2459,92.12008052920906
63,2458,92.08261811337775
64,2569,96.24094627065396
65,2637,98.78839054718355
66,2714,101.67299656619495
67,2810,105.26938848600142
68,2848,106.69296028759146
69,2848,106.69296028759146
70,2854,106.91773478257937
71,2915,109.20294214828972
72,3006,112.6120219889396
73,3059,114.5975300279994
74,3087,115.6464776712763
75,3113,116.62050048289053
76,3109,116.47065081956526
77,3110,116.50811323539658
78,3136,117.48213604701084
79,3174,118.9057078486009
80,3212,120.32927965019094
81,3235,121.19091521431125
82,3244,121.52807695679309
83,3244,121.52807695679309
84,3245,121.5655393726244
85,3276,122.72687426339525
86,3288,123.17642325337106
87,3296,123.4761225800216
88,3334,124.89969438161164
89,3356,125.72386752990063
90,3377,126.51057826235828
91,3375,126.43565343069567
92,3387,126.88520242067145
93,3398,127.29728899481594
94,3448,129.1704097863818
95,3465,129.8072708555142
96,3499,131.080992993779
97,3498,131.04353057794768
98,3498,131.04353057794768
99,3534,132.3921775478751
100,3536,132.46710237953772
101,3553,133.10396344867013
102,3573,133.85321176529646
103,3582,134.1903735077783
104,3582,134.1903735077783
105,3583,134.22783592360963
106,3613,135.35170839854916
107,3618,135.53902047770575
108,3617,135.50155806187442
109,3643,136.4755808734887
110,3659,137.07497952678975
111,3662,137.1873667742837
112,3663,137.224829190115
113,3665,137.29975402177766
114,3689,138.19885200172928
115,3690,138.23631441756058
116,3689,138.19885200172928
117,3690,138.23631441756058
118,3691,138.2737768333919
119,3689,138.19885200172928
120,3696,138.4610889125485
121,3712,139.06048756584954
122,3722,139.43511172416274
123,3727,139.62242380331932
124,3733,139.84719829830723
125,3736,139.95958554580116
126,3750,140.4840593674396
127,3742,140.18436004078907
128,3744,140.2592848724517
129,3750,140.4840593674396
130,3757,140.74629627825885
131,3758,140.78375869409015
132,3756,140.70883386242753
133,3756,140.70883386242753
134,3758,140.78375869409015
135,3758,140.78375869409015
136,3766,141.0834580207407
137,3769,141.19584526823465
138,3770,141.23330768406598
139,3773,141.34569493155993
140,3773,141.34569493155993
141,3780,141.60793184237912
142,3776,141.45808217905386
143,3776,141.45808217905386
144,3776,141.45808217905386
145,3775,141.42061976322256
146,3777,141.49554459488516
147,3778,141.5330070107165
148,3778,141.5330070107165
149,3786,141.83270633736703
150,3786,141.83270633736703
151,3792,142.05748083235494
152,3805,142.54449223816206
153,3807,142.6194170698247
154,3807,142.6194170698247
