Dias apos 20o caso,obitos,obitos/100k
0,20,0.29766764008946106
1,31,0.4613848421386646
2,36,0.5358017521610299
3,38,0.5655685161699759
4,42,0.6251020441878682
5,47,0.6995189542102335
6,59,0.87811953826391
7,73,1.086486886326533
8,82,1.22043732436679
9,92,1.3692711444115206
10,98,1.458571436438359
11,106,1.5776384924741433
12,115,1.711588930514401
13,140,2.0836734806262274
14,167,2.4855247947469996
15,195,2.902259490872245
16,219,3.2594606589795982
17,237,3.5273615350601135
18,245,3.646428591095898
19,257,3.8250291751495737
20,283,4.211997107265874
21,303,4.509664747355335
22,322,4.792449005440322
23,347,5.164533555552149
24,367,5.46220119564161
25,382,5.685451925708706
26,405,6.027769711811586
27,456,6.786822194039711
28,496,7.3821574742186336
29,535,7.962609372393082
30,574,8.54306127056753
31,603,8.97467934869725
32,631,9.391414044822495
33,670,9.971865942996946
34,713,10.611851369189285
35,764,11.370903851417411
36,919,13.677828062110734
37,1002,14.913148768481998
38,1092,16.252653148884573
39,1126,16.758688137036657
40,1172,17.443323709242417
41,1279,19.035845583721034
42,1363,20.28604967209677
43,1509,22.459023444749835
44,1631,24.274796049295546
45,1751,26.060801889832312
46,1841,27.40030627023489
47,1960,29.171428728767182
48,2135,31.776020579549968
49,2249,33.4727261280599
50,2376,35.36291564262797
51,2520,37.506122651272086
52,2702,40.21489817608619
53,2755,41.003717422323255
54,2831,42.13485445466321
55,2978,44.32271160932075
56,3135,46.65940258402301
57,3293,49.01097694072976
58,3430,51.05000027534256
59,3525,52.4639215657675
60,3578,53.252740812004575
61,3671,54.63689533842058
62,3828,56.973586313122844
63,4055,60.35211402813822
64,4231,62.971589260925484
65,4309,64.13249305727439
66,4401,65.5017642016859
67,4462,66.40965050395876
68,4516,67.2133531322003
69,4599,68.44867383857157
70,4716,70.19002953309491
71,4850,72.1844027216943
72,4877,72.58625403581507
73,4993,74.31272634833394
74,5043,75.0568954485576
75,5090,75.75641440276783
76,5239,77.97403832143432
77,5343,79.52191004989952
78,5508,81.97766808063757
79,5632,83.82320744919222
80,5791,86.18966518790344
81,5832,86.79988385008684
82,5875,87.43986927627918
83,6000,89.30029202683832
84,6087,90.59514626122747
85,6161,91.69651652955847
86,6264,93.22950487601919
87,6366,94.74760984047545
88,6393,95.14946115459622
89,6417,95.50666232270358
90,6550,97.48615212929849
91,6618,98.49822210560265
92,6689,99.55494222792024
93,6791,101.07304719237649
94,6869,102.23395098872538
95,6898,102.6655690668551
96,6924,103.0525369989714
97,7055,105.00226004155739
98,7101,105.68689561376314
99,7178,106.83291602810755
100,7254,107.96405306044753
101,7302,108.67845539666223
102,7310,108.797522452698
103,7355,109.4672746428993
104,7432,110.61329505724373
105,7500,111.62536503354788
106,7550,112.36953413377154
107,7621,113.42625425608912
108,7621,113.42625425608912
109,7703,114.64669158045592
110,7733,115.0931930405901
111,7796,116.0308461068719
112,7887,117.38523386927895
113,7913,117.77220180139525
114,7941,118.1889364975205
115,8004,119.12658956380231
116,8023,119.4093738218873
117,8053,119.85587528202147
118,8124,120.91259540433906
119,8220,122.3414000767685
120,8270,123.08556917699214
121,8310,123.68090445717107
122,8344,124.18693944532315
123,8358,124.39530679338577
124,8371,124.58879075944391
125,8419,125.30319309565863
126,8499,126.49386365601646
127,8540,127.10408231819987
128,8596,127.93755171045035
129,8606,128.08638553049508
130,8612,128.17568582252193
131,8622,128.32451964256666
132,8665,128.964505068759
133,8710,129.63425725896028
134,8766,130.46772665121077
135,8799,130.95887825735838
136,8813,131.16724560542102
137,8826,131.36072957147914
138,8830,131.42026309949705
139,8931,132.92348468194882
140,9048,134.66484037647217
141,9127,135.84062755482555
142,9175,136.55502989104025
143,9206,137.01641473317892
144,9231,137.38849928329074
145,9316,138.65358675367096
146,9404,139.96332437006458
147,9468,140.91586081835086
148,9566,142.3744322547892
149,9566,142.3744322547892
150,9628,143.29720193906653
151,9634,143.38650223109337
152,9663,143.8181203092231
153,9737,144.9194905775541
154,9778,145.5297092397375
155,9813,146.05062760989404
156,9853,146.64596289007298
157,9853,146.64596289007298
158,9853,146.64596289007298
