Dias apos 20o caso,obitos,obitos/100k
0,44,0.35699125176710667
1,53,0.43001218962856036
2,62,0.5030331274900139
3,62,0.5030331274900139
4,62,0.5030331274900139
5,103,0.8356840666366361
6,121,0.9817259423595434
7,144,1.1683350057832582
8,164,1.3306037565864886
9,186,1.509099382470042
10,212,1.7200487585142414
11,220,1.7849562588355334
12,244,1.9796787597994099
13,296,2.4015775118878087
14,339,2.750455326114754
15,384,3.115560015422022
16,409,3.31839595392606
17,422,3.42387064194816
18,445,3.610479705371875
19,456,3.699727518313651
20,512,4.154080020562696
21,558,4.527298147410126
22,603,4.892402836717394
23,643,5.216940338323855
24,686,5.5658181525508
25,700,5.679406278113061
26,715,5.801107841215484
27,753,6.109418467741622
28,778,6.31225440624566
29,912,7.399455036627302
30,1010,8.194571915563131
31,1099,8.916667856637504
32,1114,9.03836941973993
33,1172,9.508948797069298
34,1321,10.717850990553362
35,1439,11.67523662029242
36,1522,12.348651936125828
37,1607,13.038294127039556
38,1661,13.476419754208278
39,1673,13.573781004690215
40,1683,13.65491538009183
41,1801,14.612301009830889
42,1910,15.496665701708494
43,1986,16.11328695476077
44,2110,17.119353209740797
45,2223,18.03617165177905
46,2266,18.385049466005995
47,2281,18.50675102910842
48,2405,19.512817284088445
49,2494,20.23491322516282
50,2596,21.062483854259295
51,2674,21.69533198239189
52,2792,22.652717612130953
53,2835,23.001595426357895
54,2856,23.17197761470129
55,3029,24.575602309149232
56,3135,25.43562668840635
57,3238,26.271310755042986
58,3352,27.196242634621402
59,3491,28.324010452703853
60,3534,28.672888266930798
61,3555,28.843270455274187
62,3691,29.946697960736156
63,3826,31.042012028657958
64,3958,32.11298578395928
65,4116,33.3949089153048
66,4239,34.39286173274467
67,4280,34.72551267189129
68,4304,34.920235172855165
69,4443,36.04800299093761
70,4564,37.02972893329716
71,4675,37.930320500255085
72,4805,38.98506738047608
73,4901,39.76395738433159
74,4920,39.91811269759466
75,4937,40.0560411357774
76,5073,41.15946864123937
77,5232,42.44950521012505
78,5357,43.46368490264524
79,5480,44.46163772008511
80,5599,45.427136787364326
81,5623,45.6218592883282
82,5652,45.85714897699289
83,5819,47.21209304619986
84,5959,48.347974301822475
85,6097,49.46762868236476
86,6255,50.74955181371028
87,6371,51.69071056836901
88,6387,51.8205255690116
89,6404,51.95845400719435
90,6583,53.410759326883266
91,6675,54.157195580578126
92,6794,55.12269464785734
93,6880,55.82045027631123
94,6982,56.648020905407705
95,7003,56.818403093751094
96,7026,57.00501215717481
97,7162,58.108439662636776
98,7258,58.887329666492285
99,7370,59.79603467099037
100,7479,60.68039936286798
101,7597,61.63778499260704
102,7621,61.83250749357091
103,7634,61.93798218159301
104,7743,62.822346873470615
105,7864,63.80407281583017
106,7964,64.61541656984632
107,8089,65.6295962623665
108,8176,66.33546532836056
109,8212,66.62754907980637
110,8231,66.78170439306943
111,8336,67.6336153347864
112,8451,68.56666065190498
113,8585,69.65386128228661
114,8696,70.55445284924454
115,8770,71.1548472272165
116,8778,71.21975472753778
117,8799,71.39013691588117
118,8920,72.37186285824072
119,9025,73.22377379995767
120,9098,73.81605474038948
121,9156,74.28663411771883
122,9205,74.68419255718676
123,9222,74.8221209953695
124,9241,74.97627630863256
125,9318,75.601010999225
126,9396,76.2338591273576
127,9470,76.83425350532956
128,9549,77.47521507100231
129,9619,78.04315569881362
130,9634,78.16485726191604
131,9644,78.24599163731766
132,9702,78.71657101464703
133,9806,79.56036851882382
134,9909,80.39605258546045
135,10012,81.2317366520971
136,10085,81.82401759252889
137,10099,81.93760571809115
138,10107,82.00251321841243
139,10221,82.92744509799086
140,10311,83.65765447660539
141,10453,84.80976260730833
142,10563,85.7022407367261
143,10592,85.93753042539078
144,10605,86.04300511341287
145,10625,86.20527386421611
146,10700,86.81378167972822
147,10761,87.30870136967808
148,10863,88.13627199877455
149,10936,88.72855293920634
150,11003,89.27215325439715
151,11023,89.43442200520039
152,11031,89.49932950552167
153,11141,90.39180763493944
154,11215,90.9922020129114
155,11278,91.50334857794157
156,11344,92.03883545559223
157,11344,92.03883545559223
158,11400,92.49318795784129
159,11408,92.55809545816257
160,11478,93.12603608597388
161,11554,93.74265733902615
162,11611,94.20512327881536
163,11666,94.65136234352424
164,11666,94.65136234352424
165,11666,94.65136234352424
