,Data,Dias a partir do 1o caso,Município,Confirmados acum.,Confirmados acum./100k hab.,Óbitos acum.,obitos/100k
0,2020-04-01,27,Rio de Janeiro,697,10.37372,20,0.29766764008946106
1,2020-04-02,28,Rio de Janeiro,798,11.87694,31,0.4613848421386646
2,2020-04-03,29,Rio de Janeiro,867,12.903889999999999,36,0.5358017521610299
3,2020-04-04,30,Rio de Janeiro,982,14.615479999999998,38,0.5655685161699759
4,2020-04-05,31,Rio de Janeiro,1068,15.89545,42,0.6251020441878682
5,2020-04-06,32,Rio de Janeiro,1110,16.52055,47,0.6995189542102335
6,2020-04-07,33,Rio de Janeiro,1251,18.61911,59,0.87811953826391
7,2020-04-08,34,Rio de Janeiro,1449,21.56602,73,1.086486886326533
8,2020-04-09,35,Rio de Janeiro,1633,24.304560000000002,82,1.22043732436679
9,2020-04-10,36,Rio de Janeiro,1808,26.90915,92,1.3692711444115206
10,2020-04-11,37,Rio de Janeiro,1905,28.352840000000004,98,1.458571436438359
11,2020-04-12,38,Rio de Janeiro,1996,29.70723,106,1.5776384924741433
12,2020-04-13,39,Rio de Janeiro,2322,34.55921,115,1.711588930514401
13,2020-04-14,40,Rio de Janeiro,2393,35.61593,140,2.0836734806262274
14,2020-04-15,41,Rio de Janeiro,2519,37.491240000000005,167,2.4855247947469996
15,2020-04-16,42,Rio de Janeiro,2659,39.574909999999996,195,2.902259490872245
16,2020-04-17,43,Rio de Janeiro,2946,43.84644,219,3.2594606589795982
17,2020-04-18,44,Rio de Janeiro,3059,45.52827,237,3.5273615350601135
18,2020-04-19,45,Rio de Janeiro,3126,46.52545,245,3.646428591095898
19,2020-04-20,46,Rio de Janeiro,3243,48.26681,257,3.8250291751495737
20,2020-04-21,47,Rio de Janeiro,3587,53.38669,283,4.211997107265874
21,2020-04-22,48,Rio de Janeiro,3656,54.41364,303,4.509664747355335
22,2020-04-23,49,Rio de Janeiro,4027,59.93538,322,4.792449005440322
23,2020-04-24,50,Rio de Janeiro,4091,60.887919999999994,347,5.164533555552149
24,2020-04-25,51,Rio de Janeiro,4481,66.69243,367,5.46220119564161
25,2020-04-26,52,Rio de Janeiro,4498,66.94545,382,5.685451925708706
26,2020-04-27,53,Rio de Janeiro,5261,78.30147,405,6.027769711811586
27,2020-04-28,54,Rio de Janeiro,5554,82.6623,456,6.786822194039711
28,2020-04-29,55,Rio de Janeiro,5689,84.67156,496,7.3821574742186336
29,2020-04-30,56,Rio de Janeiro,5903,87.8566,535,7.962609372393082
30,2020-05-01,57,Rio de Janeiro,6189,92.11325,574,8.54306127056753
31,2020-05-02,58,Rio de Janeiro,6448,95.96805,603,8.97467934869725
32,2020-05-03,59,Rio de Janeiro,6750,100.46283000000001,631,9.391414044822495
33,2020-05-04,60,Rio de Janeiro,7283,108.39567,670,9.971865942996946
34,2020-05-05,61,Rio de Janeiro,7832,116.56665,713,10.611851369189285
35,2020-05-06,62,Rio de Janeiro,8577,127.65477,764,11.370903851417411
36,2020-05-07,63,Rio de Janeiro,9051,134.70949,919,13.677828062110734
37,2020-05-08,64,Rio de Janeiro,9672,143.95207,1002,14.913148768481998
38,2020-05-09,65,Rio de Janeiro,10479,155.96296,1092,16.252653148884573
39,2020-05-10,66,Rio de Janeiro,10520,156.57318,1126,16.758688137036657
40,2020-05-11,67,Rio de Janeiro,10619,158.04663,1172,17.443323709242417
41,2020-05-12,68,Rio de Janeiro,10816,160.97866000000002,1279,19.035845583721034
42,2020-05-13,69,Rio de Janeiro,11026,164.10416999999998,1363,20.28604967209677
43,2020-05-14,70,Rio de Janeiro,11264,167.64641,1509,22.459023444749835
44,2020-05-15,71,Rio de Janeiro,11715,174.35882,1631,24.274796049295546
45,2020-05-16,72,Rio de Janeiro,12295,182.99118,1751,26.060801889832312
46,2020-05-17,73,Rio de Janeiro,12921,192.30818,1841,27.40030627023489
47,2020-05-18,74,Rio de Janeiro,13443,200.0773,1960,29.171428728767182
48,2020-05-19,75,Rio de Janeiro,14531,216.27042000000003,2135,31.776020579549968
49,2020-05-20,76,Rio de Janeiro,17066,253.9998,2249,33.4727261280599
50,2020-05-21,77,Rio de Janeiro,18743,278.95923,2376,35.36291564262797
51,2020-05-22,78,Rio de Janeiro,20161,300.06386000000003,2520,37.506122651272086
52,2020-05-23,79,Rio de Janeiro,21043,313.19101,2702,40.21489817608619
53,2020-05-24,80,Rio de Janeiro,21775,324.08564,2755,41.003717422323255
54,2020-05-25,81,Rio de Janeiro,22466,334.37006,2831,42.13485445466321
55,2020-05-26,82,Rio de Janeiro,23290,346.63397000000003,2978,44.32271160932075
56,2020-05-27,83,Rio de Janeiro,24750,368.3637,3135,46.65940258402301
57,2020-05-28,84,Rio de Janeiro,25974,386.58096,3293,49.01097694072976
58,2020-05-29,85,Rio de Janeiro,27311,406.48005,3430,51.05000027534256
59,2020-05-30,86,Rio de Janeiro,28481,423.8936,3525,52.4639215657675
60,2020-05-31,87,Rio de Janeiro,29157,433.95477,3578,53.252740812004575
61,2020-06-01,88,Rio de Janeiro,30014,446.70982999999995,3671,54.63689533842058
62,2020-06-02,89,Rio de Janeiro,31204,464.42105,3828,56.973586313122844
63,2020-06-03,90,Rio de Janeiro,32951,490.42232,4055,60.35211402813822
64,2020-06-04,91,Rio de Janeiro,33695,501.49555999999995,4231,62.971589260925484
65,2020-06-05,92,Rio de Janeiro,35043,521.55836,4309,64.13249305727439
66,2020-06-06,93,Rio de Janeiro,35703,531.38139,4401,65.5017642016859
67,2020-06-07,94,Rio de Janeiro,36115,537.5133400000001,4462,66.40965050395876
68,2020-06-08,95,Rio de Janeiro,36893,549.0926099999999,4516,67.2133531322003
69,2020-06-09,96,Rio de Janeiro,37903,564.12483,4599,68.44867383857157
70,2020-06-10,97,Rio de Janeiro,38960,579.85656,4716,70.19002953309491
71,2020-06-11,98,Rio de Janeiro,40017,595.5883,4850,72.1844027216943
72,2020-06-12,99,Rio de Janeiro,40504,602.8365,4877,72.58625403581507
73,2020-06-13,100,Rio de Janeiro,41411,616.33573,4993,74.31272634833394
74,2020-06-14,101,Rio de Janeiro,41768,621.6491,5043,75.0568954485576
75,2020-06-15,102,Rio de Janeiro,42385,630.83215,5090,75.75641440276783
76,2020-06-16,103,Rio de Janeiro,43874,652.9935,5239,77.97403832143432
77,2020-06-17,104,Rio de Janeiro,45978,684.3081400000001,5343,79.52191004989952
78,2020-06-18,105,Rio de Janeiro,46255,688.43083,5508,81.97766808063757
79,2020-06-19,106,Rio de Janeiro,48753,725.60952,5632,83.82320744919222
80,2020-06-20,107,Rio de Janeiro,50129,746.08906,5791,86.18966518790344
81,2020-06-21,108,Rio de Janeiro,50430,750.56895,5832,86.79988385008684
82,2020-06-22,109,Rio de Janeiro,50922,757.89158,5875,87.43986927627918
83,2020-06-23,110,Rio de Janeiro,52325,778.77296,6000,89.30029202683832
84,2020-06-24,111,Rio de Janeiro,53307,793.3884400000001,6087,90.59514626122747
85,2020-06-25,112,Rio de Janeiro,54169,806.21792,6161,91.69651652955847
86,2020-06-26,113,Rio de Janeiro,55152,820.8482799999999,6264,93.22950487601919
87,2020-06-27,114,Rio de Janeiro,55286,822.8426599999999,6366,94.74760984047545
88,2020-06-28,115,Rio de Janeiro,56060,834.3624,6393,95.14946115459622
89,2020-06-29,116,Rio de Janeiro,56351,838.69346,6417,95.50666232270358
90,2020-06-30,117,Rio de Janeiro,56936,847.40024,6550,97.48615212929849
91,2020-07-01,118,Rio de Janeiro,57879,861.43527,6618,98.49822210560265
92,2020-07-02,119,Rio de Janeiro,58615,872.38944,6689,99.55494222792024
93,2020-07-03,120,Rio de Janeiro,59448,884.78729,6791,101.07304719237649
94,2020-07-04,121,Rio de Janeiro,60033,893.49407,6869,102.23395098872538
95,2020-07-05,122,Rio de Janeiro,60233,896.47075,6898,102.6655690668551
96,2020-07-06,123,Rio de Janeiro,60596,901.8734199999999,6924,103.0525369989714
97,2020-07-07,124,Rio de Janeiro,61658,917.6795699999999,7055,105.00226004155739
98,2020-07-08,125,Rio de Janeiro,62463,929.66069,7101,105.68689561376314
99,2020-07-09,126,Rio de Janeiro,63396,943.5468900000001,7178,106.83291602810755
100,2020-07-10,127,Rio de Janeiro,64027,952.9383,7254,107.96405306044753
101,2020-07-11,128,Rio de Janeiro,64102,954.05455,7302,108.67845539666223
102,2020-07-12,129,Rio de Janeiro,64110,954.1736199999999,7310,108.797522452698
103,2020-07-13,130,Rio de Janeiro,64635,961.9874,7355,109.4672746428993
104,2020-07-14,131,Rio de Janeiro,65121,969.2207199999999,7432,110.61329505724373
105,2020-07-15,132,Rio de Janeiro,65489,974.6978,7500,111.62536503354788
106,2020-07-16,133,Rio de Janeiro,65571,975.9182400000001,7550,112.36953413377154
107,2020-07-17,134,Rio de Janeiro,65696,977.77866,7621,113.42625425608912
108,2020-07-18,135,Rio de Janeiro,65696,977.77866,7621,113.42625425608912
109,2020-07-19,136,Rio de Janeiro,66909,995.8322099999999,7703,114.64669158045592
110,2020-07-20,137,Rio de Janeiro,67036,997.7224,7733,115.0931930405901
111,2020-07-21,138,Rio de Janeiro,67121,998.9874800000001,7796,116.0308461068719
112,2020-07-22,139,Rio de Janeiro,68334,1017.0410300000001,7887,117.38523386927895
113,2020-07-23,140,Rio de Janeiro,68510,1019.6605,7913,117.77220180139525
114,2020-07-24,141,Rio de Janeiro,69456,1033.74018,7941,118.1889364975205
115,2020-07-25,142,Rio de Janeiro,69546,1035.07968,8004,119.12658956380231
116,2020-07-26,143,Rio de Janeiro,69570,1035.43689,8023,119.4093738218873
117,2020-07-27,144,Rio de Janeiro,70370,1047.34359,8053,119.85587528202147
118,2020-07-28,145,Rio de Janeiro,70440,1048.38543,8124,120.91259540433906
119,2020-07-29,146,Rio de Janeiro,70692,1052.13604,8220,122.3414000767685
120,2020-07-30,147,Rio de Janeiro,70989,1056.55641,8270,123.08556917699214
121,2020-07-31,148,Rio de Janeiro,71322,1061.5125699999999,8310,123.68090445717107
122,2020-08-01,149,Rio de Janeiro,71792,1068.50776,8344,124.18693944532315
123,2020-08-02,150,Rio de Janeiro,71802,1068.65659,8358,124.39530679338577
124,2020-08-03,151,Rio de Janeiro,72079,1072.77929,8371,124.58879075944391
125,2020-08-04,152,Rio de Janeiro,72722,1082.34931,8419,125.30319309565863
126,2020-08-05,153,Rio de Janeiro,73396,1092.38071,8499,126.49386365601646
127,2020-08-06,154,Rio de Janeiro,73517,1094.1815900000001,8540,127.10408231819987
128,2020-08-07,155,Rio de Janeiro,73855,1099.21218,8596,127.93755171045035
129,2020-08-08,156,Rio de Janeiro,74403,1107.36827,8606,128.08638553049508
130,2020-08-09,157,Rio de Janeiro,74421,1107.63617,8612,128.17568582252193
131,2020-08-10,158,Rio de Janeiro,74674,1111.40167,8622,128.32451964256666
132,2020-08-11,159,Rio de Janeiro,76102,1132.65514,8665,128.964505068759
133,2020-08-12,160,Rio de Janeiro,77627,1155.35229,8710,129.63425725896028
134,2020-08-13,161,Rio de Janeiro,78500,1168.34549,8766,130.46772665121077
135,2020-08-14,162,Rio de Janeiro,79865,1188.6613,8799,130.95887825735838
136,2020-08-15,163,Rio de Janeiro,80565,1199.0796699999999,8813,131.16724560542102
137,2020-08-16,164,Rio de Janeiro,80762,1202.0117,8826,131.36072957147914
138,2020-08-17,165,Rio de Janeiro,80899,1204.05072,8830,131.42026309949705
139,2020-08-18,166,Rio de Janeiro,82188,1223.2354,8931,132.92348468194882
140,2020-08-19,167,Rio de Janeiro,83735,1246.25999,9048,134.66484037647217
141,2020-08-20,168,Rio de Janeiro,84488,1257.46718,9127,135.84062755482555
142,2020-08-21,169,Rio de Janeiro,85488,1272.3505599999999,9175,136.55502989104025
143,2020-08-22,170,Rio de Janeiro,86419,1286.2069900000001,9206,137.01641473317892
144,2020-08-23,171,Rio de Janeiro,86767,1291.38641,9231,137.38849928329074
145,2020-08-24,172,Rio de Janeiro,87164,1297.29511,9316,138.65358675367096
146,2020-08-25,173,Rio de Janeiro,87748,1305.987,9404,139.96332437006458
147,2020-08-26,174,Rio de Janeiro,88699,1320.1411,9468,140.91586081835086
148,2020-08-27,175,Rio de Janeiro,89434,1331.08039,9566,142.3744322547892
149,2020-08-28,176,Rio de Janeiro,89434,1331.08039,9566,142.3744322547892
150,2020-08-29,177,Rio de Janeiro,90263,1343.41871,9628,143.29720193906653
151,2020-08-30,178,Rio de Janeiro,90345,1344.63915,9634,143.38650223109337
152,2020-08-31,179,Rio de Janeiro,90466,1346.44004,9663,143.8181203092231
153,2020-09-01,180,Rio de Janeiro,90466,1346.44004,9663,143.8181203092231
154,2020-09-02,181,Rio de Janeiro,90466,1346.44004,9663,143.8181203092231
